
SetupTitle, Bias Stress 4V LIN
DataValue, 4, 8, 2.6609900000000003E-10, -2.53065E-10, 2.53065E-10, 2.6609900000000003E-10
DataValue, 4, 9, 2.49088E-10, -2.3217E-10, 2.3217E-10, 2.49088E-10
DataValue, 4, 10, 2.3488800000000004E-10, -2.2477400000000002E-10, 2.2477400000000002E-10, 2.3488800000000004E-10
DataValue, 4, 11.000000000000002, 2.23353E-10, -2.1197700000000003E-10, 2.1197700000000003E-10, 2.23353E-10
DataValue, 4, 12.000000000000002, 2.1343400000000002E-10, -2.08395E-10, 2.08395E-10, 2.1343400000000002E-10
DataValue, 4, 13.000000000000002, 2.05198E-10, -1.9593700000000002E-10, 1.9593700000000002E-10, 2.05198E-10
DataValue, 4, 14.000000000000002, 1.9816300000000002E-10, -1.88694E-10, 1.88694E-10, 1.9816300000000002E-10
DataValue, 4, 15.000000000000002, 1.91873E-10, -1.8086400000000002E-10, 1.8086400000000002E-10, 1.91873E-10
DataValue, 4, 16, 1.86265E-10, -1.79947E-10, 1.79947E-10, 1.86265E-10
DataValue, 4, 17, 1.8088500000000002E-10, -1.71826E-10, 1.71826E-10, 1.8088500000000002E-10
DataValue, 4, 18, 1.7633000000000003E-10, -1.69545E-10, 1.69545E-10, 1.7633000000000003E-10
DataValue, 4, 19, 1.72184E-10, -1.6434000000000002E-10, 1.6434000000000002E-10, 1.72184E-10
DataValue, 4, 20, 1.6870800000000001E-10, -1.6642100000000001E-10, 1.6642100000000001E-10, 1.6870800000000001E-10
DataValue, 4, 21, 1.65185E-10, -1.598E-10, 1.598E-10, 1.65185E-10
DataValue, 4, 22.000000000000004, 1.62002E-10, -1.57398E-10, 1.57398E-10, 1.62002E-10
DataValue, 4, 23.000000000000004, 1.58736E-10, -1.5075900000000002E-10, 1.5075900000000002E-10, 1.58736E-10
DataValue, 4, 24.000000000000004, 1.5620700000000002E-10, -1.5407300000000002E-10, 1.5407300000000002E-10, 1.5620700000000002E-10
DataValue, 4, 25.000000000000004, 1.5365100000000002E-10, -1.50772E-10, 1.50772E-10, 1.5365100000000002E-10
DataValue, 4, 26.000000000000004, 1.5116800000000002E-10, -1.5032500000000002E-10, 1.5032500000000002E-10, 1.5116800000000002E-10
DataValue, 4, 27.000000000000004, 1.48787E-10, -1.4559E-10, 1.4559E-10, 1.48787E-10
DataValue, 4, 28.000000000000004, 1.46755E-10, -1.46496E-10, 1.46496E-10, 1.46755E-10
DataValue, 4, 29.000000000000004, 1.44879E-10, -1.43833E-10, 1.43833E-10, 1.44879E-10
DataValue, 4, 30.000000000000004, 1.42793E-10, -1.4446E-10, 1.4446E-10, 1.42793E-10
DataValue, 4, 31.000000000000004, 1.41058E-10, -1.38315E-10, 1.38315E-10, 1.41058E-10
DataValue, 4, 32, 1.3938100000000002E-10, -1.37475E-10, 1.37475E-10, 1.3938100000000002E-10
DataValue, 4, 33, 1.37821E-10, -1.3941700000000002E-10, 1.3941700000000002E-10, 1.37821E-10
DataValue, 4, 34, 1.36297E-10, -1.3747300000000002E-10, 1.3747300000000002E-10, 1.36297E-10
DataValue, 4, 35, 1.34567E-10, -1.34566E-10, 1.34566E-10, 1.34567E-10
DataValue, 4, 36, 1.33458E-10, -1.33205E-10, 1.33205E-10, 1.33458E-10
DataValue, 4, 37, 1.3213000000000001E-10, -1.3045200000000002E-10, 1.3045200000000002E-10, 1.3213000000000001E-10
DataValue, 4, 38, 1.31081E-10, -1.26765E-10, 1.26765E-10, 1.31081E-10
DataValue, 4, 39, 1.29764E-10, -1.2741E-10, 1.2741E-10, 1.29764E-10
DataValue, 4, 40, 1.28612E-10, -1.2553500000000002E-10, 1.2553500000000002E-10, 1.28612E-10
DataValue, 4, 41, 1.2746300000000002E-10, -1.19028E-10, 1.19028E-10, 1.2746300000000002E-10
DataValue, 4, 42, 1.2621900000000002E-10, -1.1961600000000001E-10, 1.1961600000000001E-10, 1.2621900000000002E-10
DataValue, 4, 43, 1.25542E-10, -1.1986400000000002E-10, 1.1986400000000002E-10, 1.25542E-10
DataValue, 4, 44.000000000000007, 1.2438000000000001E-10, -1.19678E-10, 1.19678E-10, 1.2438000000000001E-10
DataValue, 4, 45.000000000000007, 1.2310900000000002E-10, -1.17071E-10, 1.17071E-10, 1.2310900000000002E-10
DataValue, 4, 46.000000000000007, 1.2203300000000002E-10, -1.19715E-10, 1.19715E-10, 1.2203300000000002E-10
DataValue, 4, 47.000000000000007, 1.2141200000000002E-10, -1.21604E-10, 1.21604E-10, 1.2141200000000002E-10
DataValue, 4, 48.000000000000007, 1.2038200000000002E-10, -1.19513E-10, 1.19513E-10, 1.2038200000000002E-10
DataValue, 4, 49.000000000000007, 1.19441E-10, -1.17142E-10, 1.17142E-10, 1.19441E-10
DataValue, 4, 50.000000000000007, 1.18377E-10, -1.1692000000000002E-10, 1.1692000000000002E-10, 1.18377E-10
DataValue, 4, 51.000000000000007, 1.17945E-10, -1.1557300000000001E-10, 1.1557300000000001E-10, 1.17945E-10
DataValue, 4, 52.000000000000007, 1.1703700000000002E-10, -1.13388E-10, 1.13388E-10, 1.1703700000000002E-10
DataValue, 4, 53.000000000000007, 1.1637500000000001E-10, -1.1321800000000001E-10, 1.1321800000000001E-10, 1.1637500000000001E-10
DataValue, 4, 54.000000000000007, 1.1565500000000001E-10, -1.09385E-10, 1.09385E-10, 1.1565500000000001E-10
DataValue, 4, 55.000000000000007, 1.1464100000000001E-10, -1.07101E-10, 1.07101E-10, 1.1464100000000001E-10
DataValue, 4, 56.000000000000007, 1.13983E-10, -1.11268E-10, 1.11268E-10, 1.13983E-10
DataValue, 4, 57.000000000000007, 1.1334200000000001E-10, -1.0881500000000001E-10, 1.0881500000000001E-10, 1.1334200000000001E-10
DataValue, 4, 58.000000000000007, 1.12698E-10, -1.0537800000000001E-10, 1.0537800000000001E-10, 1.12698E-10
DataValue, 4, 59.000000000000007, 1.1198300000000001E-10, -1.0519300000000001E-10, 1.0519300000000001E-10, 1.1198300000000001E-10
DataValue, 4, 60.000000000000007, 1.1152800000000001E-10, -1.0934300000000001E-10, 1.0934300000000001E-10, 1.1152800000000001E-10
DataValue, 4, 61.000000000000007, 1.1083400000000002E-10, -1.05841E-10, 1.05841E-10, 1.1083400000000002E-10
DataValue, 4, 62.000000000000007, 1.1041500000000001E-10, -1.0785200000000001E-10, 1.0785200000000001E-10, 1.1041500000000001E-10
DataValue, 4, 63.000000000000007, 1.0965700000000001E-10, -1.0388900000000001E-10, 1.0388900000000001E-10, 1.0965700000000001E-10
DataValue, 4, 64, 1.09082E-10, -1.0693000000000001E-10, 1.0693000000000001E-10, 1.09082E-10
DataValue, 4, 65, 1.0868500000000001E-10, -1.0302500000000001E-10, 1.0302500000000001E-10, 1.0868500000000001E-10
DataValue, 4, 66, 1.0807600000000001E-10, -1.05171E-10, 1.05171E-10, 1.0807600000000001E-10
DataValue, 4, 67, 1.0737000000000001E-10, -1.01879E-10, 1.01879E-10, 1.0737000000000001E-10
DataValue, 4, 68, 1.0692200000000001E-10, -1.09118E-10, 1.09118E-10, 1.0692200000000001E-10
DataValue, 4, 69, 1.06631E-10, -1.0705900000000001E-10, 1.0705900000000001E-10, 1.06631E-10
DataValue, 4, 70, 1.0592000000000001E-10, -1.08279E-10, 1.08279E-10, 1.0592000000000001E-10
DataValue, 4, 71, 1.0508000000000001E-10, -1.0347E-10, 1.0347E-10, 1.0508000000000001E-10
DataValue, 4, 72, 1.0466400000000001E-10, -1.03863E-10, 1.03863E-10, 1.0466400000000001E-10
DataValue, 4, 73, 1.0435000000000001E-10, -9.8135E-11, 9.8135E-11, 1.0435000000000001E-10
DataValue, 4, 74, 1.03899E-10, -1.03569E-10, 1.03569E-10, 1.03899E-10
DataValue, 4, 75, 1.03423E-10, -9.5874000000000009E-11, 9.5874000000000009E-11, 1.03423E-10
DataValue, 4, 76, 1.02983E-10, -9.8741000000000008E-11, 9.8741000000000008E-11, 1.02983E-10
DataValue, 4, 77, 1.02447E-10, -9.7195000000000007E-11, 9.7195000000000007E-11, 1.02447E-10
DataValue, 4, 78, 1.0215700000000001E-10, -1.0168100000000001E-10, 1.0168100000000001E-10, 1.0215700000000001E-10
DataValue, 4, 79, 1.0177100000000001E-10, -9.4615E-11, 9.4615E-11, 1.0177100000000001E-10
DataValue, 4, 80, 1.0128300000000001E-10, -9.7177000000000007E-11, 9.7177000000000007E-11, 1.0128300000000001E-10
DataValue, 4, 81, 1.0060300000000001E-10, -9.5072E-11, 9.5072E-11, 1.0060300000000001E-10
DataValue, 4, 82, 1.0046200000000001E-10, -1.0200000000000001E-10, 1.0200000000000001E-10, 1.0046200000000001E-10
DataValue, 4, 83, 1.0010900000000001E-10, -9.6102000000000014E-11, 9.6102000000000014E-11, 1.0010900000000001E-10
DataValue, 4, 84, 9.9744E-11, -9.9794000000000007E-11, 9.9794000000000007E-11, 9.9744E-11
DataValue, 4, 85, 9.9207000000000012E-11, -9.4807000000000007E-11, 9.4807000000000007E-11, 9.9207000000000012E-11
DataValue, 4, 86, 9.8722000000000013E-11, -1.02328E-10, 1.02328E-10, 9.8722000000000013E-11
DataValue, 4, 87.000000000000014, 9.8627000000000013E-11, -9.6465000000000013E-11, 9.6465000000000013E-11, 9.8627000000000013E-11
DataValue, 4, 88.000000000000014, 9.8043E-11, -9.9623000000000014E-11, 9.9623000000000014E-11, 9.8043E-11
DataValue, 4, 89.000000000000014, 9.7848000000000012E-11, -8.9081000000000013E-11, 8.9081000000000013E-11, 9.7848000000000012E-11
DataValue, 4, 90.000000000000014, 9.7398E-11, -9.4851000000000009E-11, 9.4851000000000009E-11, 9.7398E-11
DataValue, 4, 91.000000000000014, 9.7145E-11, -8.8761000000000008E-11, 8.8761000000000008E-11, 9.7145E-11
DataValue, 4, 92.000000000000014, 9.6721000000000012E-11, -9.7604000000000013E-11, 9.7604000000000013E-11, 9.6721000000000012E-11
DataValue, 4, 93.000000000000014, 9.6285000000000007E-11, -8.5895E-11, 8.5895E-11, 9.6285000000000007E-11
DataValue, 4, 94.000000000000014, 9.609400000000001E-11, -9.8539000000000007E-11, 9.8539000000000007E-11, 9.609400000000001E-11
DataValue, 4, 95.000000000000014, 9.5612000000000011E-11, -9.7364000000000009E-11, 9.7364000000000009E-11, 9.5612000000000011E-11
DataValue, 4, 96.000000000000014, 9.5362000000000011E-11, -9.3527000000000012E-11, 9.3527000000000012E-11, 9.5362000000000011E-11
DataValue, 4, 97.000000000000014, 9.5023000000000011E-11, -8.8736000000000013E-11, 8.8736000000000013E-11, 9.5023000000000011E-11
DataValue, 4, 98.000000000000014, 9.4408000000000009E-11, -9.1234000000000013E-11, 9.1234000000000013E-11, 9.4408000000000009E-11
DataValue, 4, 99.000000000000014, 9.4316000000000008E-11, -8.757E-11, 8.757E-11, 9.4316000000000008E-11
DataValue, 4, 100.00000000000001, 9.3977000000000008E-11, -9.438E-11, 9.438E-11, 9.3977000000000008E-11
SetupTitle, I/V Sweep
PrimitiveTest, I/V Sweep
TestParameter, Context.MainFrame, 4155C
TestParameter, Channel.UnitType, SMU, SMU, SMU
TestParameter, Channel.Unit, Gate, Source, Drain
TestParameter, Channel.IName, Igate, Isource, Idrain
TestParameter, Channel.VName, Vgate, Vsource, Vdrain
TestParameter, Channel.Mode, V, V, V
TestParameter, Channel.Func, VAR1, CONST, CONST
TestParameter, Channel.Index, 
TestParameter, Channel.Time, 
TestParameter, Measurement.Port.Unit, Gate, Source, Drain
TestParameter, Measurement.Port.SeriesResistor, NONE, NONE, NONE
TestParameter, Measurement.Port.Filter, ON, ON, ON
TestParameter, Measurement.Primary.Locus, Double
TestParameter, Measurement.Primary.Scale, LINEAR
TestParameter, Measurement.Primary.Start, VgStart
TestParameter, Measurement.Primary.Stop, VgStop
TestParameter, Measurement.Primary.Step, VgStep
TestParameter, Measurement.Primary.Compliance, IdMax
TestParameter, Measurement.Primary.PowerCompliance, 0
TestParameter, Measurement.Aborting.Condition, CONTINUE AT ANY
TestParameter, Measurement.PostOutput.Value, START
TestParameter, Measurement.PostOutput.Retention, ON
TestParameter, Measurement.Bias.Source, VgStart, Vs, Vd
TestParameter, Measurement.Bias.Compliance, IdMax, IdMax, IdMax
TestParameter, Measurement.Monitor.Unit, SMU:=Gate, SMU:=Source, SMU:=Drain
TestParameter, Measurement.Monitor.Adc, HR ADC, HR ADC, HR ADC
TestParameter, Measurement.Monitor.RangingMode, LIMITED, LIMITED, LIMITED
TestParameter, Measurement.Monitor.RangeBoundary, 1nA, 1nA, 1nA
TestParameter, Measurement.Monitor.RangeRating, BY FULL RANGE, BY FULL RANGE, BY FULL RANGE
TestParameter, Measurement.Monitor.RangeRatingCoeff, 50, 50, 50
TestParameter, Measurement.Timing.Hold, 0
TestParameter, Measurement.Timing.Delay, 0
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO
TestParameter, Measurement.Adc.HighResolution.Coeff, 1
TestParameter, Measurement.Ag16440ASelector.SemiconductorRelay.Channel1, DEFAULT
TestParameter, Measurement.Ag16440ASelector.SemiconductorRelay.Channel3, DEFAULT
TestParameter, Function.User.Name, absIdrain, absIgate
TestParameter, Function.User.Unit, A, A
TestParameter, Function.User.Definition, abs(Idrain), abs(Igate)
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.XAxis.Data, Vgate
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, VgStart
TestParameter, Output.Graph.XAxis.Right, VgStop
TestParameter, Output.Graph.YAxis.Data, absIdrain
TestParameter, Output.Graph.YAxis.Scale, Log
TestParameter, Output.Graph.YAxis.Bottom, 1E-12
TestParameter, Output.Graph.YAxis.Top, IdMax
TestParameter, Output.Graph.YAxis.Group, 
TestParameter, Output.List.Data, Vgate, Vdrain, Idrain, Igate
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, false
MetaData, TestRecord.RecordTime, 06/16/2015 18:00:37
MetaData, TestRecord.TestTarget, ITO_1-1_pbs_01
MetaData, TestRecord.IterationIndex, 2
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, 0bc0f763-d385-4dcc-ac3e-987c5147f009
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Vgate
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, -4
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 4
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, absIdrain
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Log
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 1E-12
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 0.01
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, 
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, Vgate, Vdrain, Idrain, Igate
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, V, V, A, A
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, I/V Sweep
Dimension1, 162, 162, 162, 162, 162, 162
Dimension2, 1, 1, 1, 1, 1, 1
DataName, Vgate, Vdrain, Igate, Idrain, absIdrain, absIgate
DataValue, -4, 0.1, -5.51039E-09, 3.6722500000000003E-06, 3.6722500000000003E-06, 5.51039E-09
DataValue, -3.9, 0.1, -3.71524E-09, 3.6408100000000002E-06, 3.6408100000000002E-06, 3.71524E-09
DataValue, -3.8000000000000003, 0.1, -3.02739E-09, 3.6328800000000003E-06, 3.6328800000000003E-06, 3.02739E-09
DataValue, -3.7, 0.1, -2.43747E-09, 3.6368600000000004E-06, 3.6368600000000004E-06, 2.43747E-09
DataValue, -3.6, 0.1, -1.9248E-09, 3.6485600000000003E-06, 3.6485600000000003E-06, 1.9248E-09
DataValue, -3.5, 0.1, -1.49852E-09, 3.6657700000000006E-06, 3.6657700000000006E-06, 1.49852E-09
DataValue, -3.4, 0.1, -1.15176E-09, 3.6874800000000006E-06, 3.6874800000000006E-06, 1.15176E-09
DataValue, -3.3000000000000003, 0.1, -8.80262E-10, 3.7111800000000004E-06, 3.7111800000000004E-06, 8.80262E-10
DataValue, -3.2, 0.1, -6.5637000000000008E-10, 3.7382500000000006E-06, 3.7382500000000006E-06, 6.5637000000000008E-10
DataValue, -3.1, 0.1, -4.87838E-10, 3.76817E-06, 3.76817E-06, 4.87838E-10
DataValue, -3, 0.1, -3.6040300000000004E-10, 3.8007000000000003E-06, 3.8007000000000003E-06, 3.6040300000000004E-10
DataValue, -2.9, 0.1, -2.6608600000000003E-10, 3.83508E-06, 3.83508E-06, 2.6608600000000003E-10
DataValue, -2.8000000000000003, 0.1, -1.9722000000000002E-10, 3.87099E-06, 3.87099E-06, 1.9722000000000002E-10
